CMP	HSC	MEP	MPP	P1	P2	P3	P4	P5	P6	P7	P8
19	12	79	18	5	33	56	44	24	6	19	5
32	5	79	8	7	35	64	70	45	23	18	9
9	3	31	7	8	12	7	26	47	20	10	7
66	25	22	29	77	22	19	30	67	29	22	19
13	3	50	4	6	90	226	436	911	251	137	20
75	89	51	84	29	43	70	53	91	60	78	43
1920	2176	1688	2254	175	416	660	667	551	103	87	43
1288	1354	781	1461	109	147	179	143	117	24	46	32
109	8	201	17	3	31	40	47	29	7	9	12
24	11	156	12	8	54	120	110	65	24	30	16
279	280	271	254	27	70	87	94	149	72	95	72
265	230	206	213	35	75	93	109	135	57	142	120
692	604	570	617	113	226	344	337	576	270	661	545
229	235	183	237	39	56	89	91	171	78	158	136
86	15	14	11	22	9	13	10	9	5	9	8
3	7	14	9	5	12	27	18	19	12	22	13
7	14	11	9	7	14	18	10	13	18	13	13
24	6	27	12	10	7	19	28	73	45	33	15
20	8	29	12	5	7	22	20	28	19	17	9
10	6	8	9	4	16	12	10	7	6	6	7
12	14	21	6	3	7	14	16	22	12	10	10
526	496	357	483	49	48	34	34	28	16	11	8
369	426	250	380	44	82	106	90	157	86	121	70
1098	1283	831	1200	137	243	334	375	812	418	822	433
122	88	81	80	7	19	21	19	20	13	16	14
36	44	47	51	10	19	12	12	5	11	10	9
8	9	12	5	5	10	15	8	13	13	12	15
160	68	61	102	41	12	4	5	13	6	12	12
6	1	19	2	7	4	24	12	8	9	10	17
4	0	11	1	2	13	24	20	20	17	12	6
8	4	7	6	3	6	4	7	13	10	18	9
7	1	11	3	5	15	26	39	14	4	18	11
2	1	7	6	3	9	9	10	22	27	60	17
9	6	18	5	6	31	81	138	308	149	254	54
102	140	55	122	23	44	62	41	33	25	50	46
184	306	332	267	46	233	443	376	428	298	798	359
172	267	215	234	20	69	113	106	128	90	151	63
2085	2530	1533	2427	414	626	1010	1036	1837	1088	2516	1606
218	506	77	390	43	16	16	4	9	6	13	11
190	135	56	129	28	8	3	5	7	7	9	11
6	2	11	2	7	13	15	26	25	16	17	17
17	2	14	4	19	2	8	4	3	3	3	5
341	343	404	313	44	77	129	91	131	81	129	52
146	93	114	110	22	41	68	52	20	12	22	12
471	322	121	374	55	14	8	4	8	7	15	11
66	3	11	5	83	4	6	6	10	5	11	13
4	1	4	3	1	5	13	5	5	1	9	4
1	1	2	4	3	4	4	16	8	4	8	4
268	0	243	23	20	30	23	15	5	8	12	5
389	75	256	124	12	20	22	10	5	7	4	5
134	158	142	179	22	53	76	103	102	39	46	49
470	139	662	185	68	246	430	403	244	30	47	41
52	6	124	8	11	57	55	48	46	13	21	15
24	13	67	13	21	178	392	420	553	175	358	181
173	190	161	192	29	70	98	57	55	28	58	26
488	544	472	584	54	81	122	96	77	32	36	20
312	1532	79	1124	11	17	23	19	13	20	16	21
272	119	45	119	114	19	6	3	11	10	13	13
33	7	11	20	16	4	10	2	3	6	16	6
5	2	27	4	3	22	29	29	16	4	11	7
2	2	6	2	2	14	20	28	18	3	9	5
408	581	146	540	34	11	14	11	8	5	22	10
18	2	84	2	2	19	40	32	12	10	13	10
95	103	81	97	15	24	25	27	15	20	23	25
7	3	14	4	4	11	14	5	13	7	12	10
753	878	635	914	160	224	327	303	566	274	686	538
440	548	430	518	59	125	169	136	200	88	213	125
551	427	277	378	36	61	84	67	17	8	9	12
36	43	9	43	16	8	4	2	7	2	13	3
18	19	15	13	6	15	36	19	3	11	0	12
30	9	12	22	4	8	7	11	24	14	10	6
72	49	69	66	12	33	46	26	17	7	23	23
74	64	119	59	8	16	18	13	5	5	12	5
50	4	131	4	6	42	117	89	50	12	20	7
10	10	28	3	3	10	16	29	13	7	12	12
28	20	69	24	6	12	28	30	29	20	14	9
381	476	297	406	40	65	74	75	68	41	75	43
335	359	258	323	37	72	113	93	116	75	138	74
467	461	412	474	47	75	102	107	163	65	95	62
243	221	191	228	24	44	90	63	101	39	66	50
79	43	106	41	12	26	52	61	45	21	22	12
13	16	18	9	4	12	19	15	48	58	120	38
356	339	260	379	49	88	82	77	122	57	104	140
402	413	294	437	104	195	234	243	466	273	632	603
155	139	115	169	74	148	191	168	274	120	319	216
98	2	122	11	3	21	27	30	4	4	10	13
23	2	7	1	17	4	3	3	5	4	4	7
621	563	257	629	27	16	12	9	6	6	4	12
254	339	171	274	37	32	27	27	52	25	24	10
113	183	89	165	18	28	31	21	14	13	9	13
573	720	489	696	22	76	110	74	28	20	25	18
19	6	83	4	8	25	35	24	7	12	12	10
14	4	13	8	8	9	23	17	10	4	12	2
350	445	121	450	34	5	4	3	3	7	6	11
882	862	499	860	68	21	5	6	7	4	10	7
296	323	228	307	37	48	66	54	18	18	17	16
106	127	92	99	9	17	23	18	13	3	5	8
222	153	180	145	27	29	44	37	22	12	30	26
19	12	6	17	16	8	3	5	5	4	5	3
42	3	245	7	14	46	101	62	9	7	8	12
140	82	175	88	8	27	31	23	7	8	1	7
12	3	42	8	3	23	24	6	2	11	7	6
1	1	9	4	4	12	24	49	12	11	13	11
4	2	17	5	1	10	15	34	28	12	8	9
10	4	7	5	4	18	35	45	12	11	16	13
1454	1380	1122	1438	282	505	729	729	1393	673	1594	1001
663	699	606	690	77	115	170	206	459	303	687	467
34	5	45	9	8	28	62	32	22	16	11	16
23	3	82	5	4	18	35	51	44	6	7	15
70	5	37	10	15	28	23	30	13	12	11	7
9	3	33	9	2	55	109	153	310	139	191	52
336	387	262	425	33	66	85	60	139	77	90	31
114	121	130	116	16	38	50	37	78	39	30	16
204	136	244	152	32	61	82	83	114	48	102	42
12	5	65	7	3	8	14	20	10	7	16	11
915	943	645	888	128	205	312	290	583	317	578	274
505	496	357	531	51	86	94	84	129	75	97	60
283	204	377	245	24	50	87	89	142	65	47	22
22	18	35	18	8	26	40	50	132	87	118	121
18	5	19	1	9	16	35	34	82	45	44	26
215	2	916	15	20	363	596	780	1719	694	721	205
44	10	27	16	18	16	29	22	47	31	44	39
20	7	23	9	7	17	19	18	27	15	31	22
32	1	57	6	7	29	37	57	94	45	45	18
704	259	1005	373	41	344	612	624	1184	484	643	146
315	359	263	409	40	144	194	209	366	174	210	60
16	11	42	17	3	18	36	31	34	20	18	20
13	5	25	11	7	7	15	10	25	15	19	9
39	31	100	44	13	30	24	15	8	13	18	11
344	425	257	427	47	65	78	97	210	90	110	64
139	114	45	124	18	16	18	5	13	6	12	14
211	461	182	393	25	70	81	51	24	9	22	13
53	53	43	51	16	30	43	21	18	8	7	18
125	90	68	72	15	26	38	29	8	10	24	14
135	293	70	321	26	9	8	10	7	8	17	9
5	6	13	1	5	14	8	9	7	8	13	14
13	13	24	18	13	12	34	26	16	22	12	17
9	2	23	18	5	22	36	57	15	15	8	13
3	2	11	4	4	12	18	14	20	17	29	22
3	6	5	1	2	6	5	4	8	5	8	18
18	5	39	13	3	24	46	45	27	10	14	8
456	135	223	168	14	15	34	21	9	9	9	4
251	169	223	182	29	55	69	61	62	40	60	32
325	191	343	202	15	72	108	97	47	25	35	23
161	158	122	151	17	51	79	62	48	25	46	44
100	83	80	98	23	38	46	49	55	29	70	34
29	11	49	17	2	33	50	43	15	7	6	12
21	9	34	16	6	20	27	23	17	14	14	13
3	2	17	7	1	18	17	23	24	6	13	4
3	3	14	2	3	16	27	14	5	6	9	2
306	287	260	303	30	48	56	47	61	54	52	38
464	456	388	493	82	113	128	92	177	83	147	66
17	5	13	8	5	15	33	23	13	6	7	16
529	803	229	714	28	24	25	8	8	9	7	9
20	22	25	20	2	19	25	32	22	10	18	15
51	66	64	84	5	39	53	36	17	7	11	13
46	40	45	33	11	22	33	25	10	3	24	20
162	180	112	177	25	48	78	70	44	27	45	45
48	26	21	49	17	7	13	8	10	7	13	20
19	18	25	29	8	11	25	23	12	17	18	15
90	148	84	102	22	9	16	12	7	5	17	9
220	251	162	228	19	29	48	25	28	9	10	12
37	45	76	63	5	31	42	27	16	12	21	16
52	66	44	71	5	21	48	33	39	21	18	20
8	2	6	8	6	4	16	10	6	16	10	10
21	1	59	7	4	18	29	12	7	5	9	8
125	106	89	98	12	12	28	20	35	15	29	20
67	37	66	43	15	21	16	26	11	14	15	19
615	624	459	717	88	155	200	208	351	150	211	92
1006	952	795	959	195	282	376	416	468	131	180	92
263	7	97	21	54	59	58	68	64	24	19	18
6	3	16	2	4	18	26	30	18	20	22	19
19	10	22	8	6	26	68	60	47	17	28	14
261	10	80	29	36	15	9	5	4	6	11	6
5	3	25	2	1	1	12	19	33	9	12	1
257	255	220	291	13	26	33	16	11	6	13	10
110	13	51	36	35	20	21	10	16	11	25	10
172	103	93	90	30	13	16	4	10	6	11	6
212	293	135	284	11	26	47	33	18	16	22	16
621	707	409	718	40	33	57	35	13	14	19	12
99	56	91	53	18	8	21	27	20	10	29	13
111	116	122	124	29	21	41	29	14	12	22	26
677	876	481	805	64	97	138	82	31	18	21	9
127	11	424	16	4	98	139	137	35	6	11	9
1	2	10	1	4	4	5	7	3	14	12	19
120	133	49	145	18	3	6	6	15	10	3	16
101	265	67	233	13	18	20	13	18	26	85	41
60	40	78	39	2	7	19	13	2	10	9	6
110	4	175	24	5	36	26	21	8	4	7	6
253	204	67	248	40	5	8	6	10	12	22	15
32	2	8	11	35	7	11	8	9	11	13	14
451	17	114	65	103	29	10	5	9	7	19	16
273	278	195	280	37	25	20	14	11	13	16	17
49	18	16	18	21	20	22	8	9	9	7	15
584	600	491	672	107	159	197	176	175	88	102	62
79	41	29	54	26	5	5	8	10	8	10	9
38	40	46	58	7	17	28	15	12	9	5	10
110	116	83	97	13	19	26	22	27	19	41	26
913	210	640	393	37	105	189	185	185	42	38	23
94	68	75	69	8	10	40	19	17	12	9	11
123	55	51	74	16	13	20	14	8	8	15	15
48	14	101	32	2	16	40	18	14	5	4	9
14	10	19	16	3	13	20	13	11	8	10	11
1043	1108	721	1280	213	359	490	454	721	331	650	430
515	517	389	540	120	163	219	161	137	91	147	128
955	987	745	1012	131	281	395	379	549	326	712	417
456	395	539	423	31	194	339	302	375	266	600	326
17	7	20	9	5	10	15	14	20	9	14	10
9	1	23	5	5	12	24	21	16	14	11	7
254	232	476	303	10	29	38	21	4	4	5	3
12	11	24	16	8	27	58	29	21	9	13	27
81	15	96	19	16	16	19	19	8	14	15	9
26	11	132	15	5	30	48	96	109	18	20	14
217	17	46	31	33	19	2	3	5	5	8	5
96	24	37	30	22	21	17	12	9	9	9	5
185	86	138	91	18	10	12	6	9	8	10	13
20	1	34	11	9	37	53	42	33	16	9	9
25	9	63	6	3	27	29	10	16	10	7	7
51	21	144	32	4	32	38	33	36	25	22	10
26	19	40	13	3	13	14	18	22	23	33	10
278	17	106	22	43	82	74	57	22	15	20	9
26	68	16	42	11	17	16	12	30	18	28	35
105	9	23	9	35	10	9	4	12	5	8	5
382	382	281	411	58	98	126	152	251	105	98	104
2207	2145	1677	2250	324	521	773	761	1481	695	1357	909
759	784	702	733	69	94	144	132	232	127	186	122
150	151	89	152	14	8	7	5	25	23	101	88
44	71	32	51	10	16	14	7	17	29	70	38
721	808	316	795	46	24	30	19	18	14	24	22
269	242	215	274	24	34	56	36	24	18	25	25
337	659	154	567	29	26	44	18	35	25	61	53
15	7	30	17	4	21	46	29	21	22	55	33
2705	2825	1929	3092	253	432	593	600	1039	604	1266	570
256	322	248	338	24	58	67	67	99	66	86	85
347	271	316	255	13	28	54	30	22	14	26	16
392	17	385	63	17	128	158	139	34	5	11	10
15	13	13	7	1	7	13	7	13	6	18	11
6	4	14	7	6	6	4	6	23	10	8	11
5	4	11	6	15	9	19	11	12	13	18	11
10	4	200	7	9	49	47	53	25	5	10	16
35	94	55	64	6	13	26	21	11	10	5	15
339	349	206	340	20	65	81	62	71	45	88	60
301	381	192	386	24	58	54	61	35	32	55	22
18	7	12	2	14	11	13	5	10	9	12	16
315	297	244	282	26	42	51	44	21	16	15	24
184	44	27	42	40	8	8	10	9	8	11	9
135	9	60	33	25	9	6	9	2	4	4	5
39	5	4	5	19	9	3	4	5	11	4	16
179	202	136	213	21	18	36	25	28	12	18	17
120	93	107	82	13	28	33	15	15	12	7	14
302	292	242	280	44	61	63	48	34	30	32	20
241	5	355	20	12	37	43	15	9	6	8	14
54	38	106	42	10	37	45	27	14	9	9	9
586	793	360	778	70	71	87	78	61	25	34	22
403	596	229	548	37	55	54	35	44	27	31	18
215	227	196	217	32	55	75	42	24	19	21	21
488	246	96	292	57	10	11	2	9	11	18	12
10	1	17	3	3	10	25	20	17	7	10	10
612	542	608	528	80	188	238	275	440	215	317	152
305	204	218	191	25	44	68	61	55	35	61	43
646	744	528	724	61	131	163	185	304	138	312	240
480	499	547	498	24	107	134	158	305	149	194	68
278	134	368	161	20	84	123	103	78	41	53	26
1032	368	947	511	66	156	238	243	178	55	29	20
6	3	23	3	8	17	37	28	37	14	16	11
11	3	97	9	1	27	23	39	32	14	17	8
7	6	31	7	8	60	84	78	30	12	24	14
427	651	328	613	39	76	124	114	117	43	62	36
749	1196	501	1067	64	129	206	178	212	85	202	77
507	464	314	482	43	28	46	28	18	18	12	18
58	29	39	35	45	15	11	8	10	9	10	15
131	15	31	30	41	8	7	5	1	8	9	1
215	229	163	236	30	46	69	43	24	23	38	20
267	78	189	144	15	26	35	16	12	5	8	8
549	573	480	550	62	90	102	74	33	23	27	21
381	119	203	168	47	27	21	17	10	12	16	8
98	9	324	17	14	103	140	99	19	12	7	14
618	42	379	111	82	37	24	11	5	15	13	9
29	7	67	18	10	32	27	15	21	16	19	26
25	9	11	3	21	5	4	2	1	4	9	9
10	3	23	10	10	8	12	13	12	16	26	15
11	15	16	3	7	23	14	9	4	5	11	10
6	3	23	8	5	14	31	14	11	12	18	16
1758	2056	1272	2000	150	310	453	322	527	360	783	349
737	855	529	807	79	175	228	194	255	133	273	155
606	622	448	615	55	96	89	81	75	33	48	30
541	637	532	651	35	98	111	110	136	72	58	34
1472	1689	1029	1650	89	152	159	95	27	14	21	15
35	46	45	44	19	29	36	37	34	23	50	21
60	69	74	60	7	28	68	27	42	27	83	40
1198	1001	1440	1130	49	146	171	131	119	54	164	92
30	22	42	24	6	29	39	59	86	74	242	121
49	17	19	20	22	6	8	11	2	8	5	9
28	55	61	36	1	16	15	13	4	6	11	10
256	428	188	339	25	71	115	65	23	23	59	46
226	567	137	490	28	60	105	100	158	113	318	146
201	5	414	34	7	98	131	109	25	10	19	11
134	86	200	113	13	35	54	52	26	15	25	11
534	434	196	455	55	29	22	12	8	4	9	8
22	10	17	10	7	10	22	3	12	22	113	68
17	7	15	7	5	16	16	9	12	12	40	30
27	23	42	18	12	27	47	47	14	15	19	10
7	8	29	7	4	25	42	47	27	27	35	11
21	21	30	20	8	14	38	59	76	24	49	12
222	248	213	224	21	34	43	48	54	24	32	20
393	497	374	495	44	75	83	77	152	105	101	78
909	946	732	1112	139	227	280	334	608	326	458	193
209	2	36	10	26	10	10	9	10	13	19	6
33	16	50	17	12	42	76	66	10	16	13	25
39	19	89	25	11	49	96	59	27	20	31	30
571	246	615	434	91	202	281	299	121	20	16	4
486	582	311	566	47	23	9	6	4	4	12	3
102	1	14	2	79	19	8	6	11	13	18	10
808	954	543	961	111	186	233	208	296	109	197	123
1209	1307	897	1452	135	263	366	337	500	212	325	162
292	274	240	267	62	44	91	49	65	35	52	29
343	246	283	273	49	81	80	65	55	35	47	38
248	223	174	253	45	46	48	44	18	19	22	16
346	205	160	235	10	27	34	18	4	10	16	9
2	4	2	4	7	9	14	11	17	13	13	15
6	5	2	3	8	4	6	7	10	24	14	16
176	197	157	170	25	52	49	44	32	24	49	29
219	79	178	147	19	26	54	41	32	25	35	20
87	29	139	51	26	70	148	140	222	64	91	29
303	87	130	138	95	36	46	31	29	24	42	30
80	11	121	21	14	68	133	218	403	170	166	47
213	9	92	7	43	68	130	121	81	25	53	24
135	7	103	8	21	51	41	53	51	15	22	6
35	12	49	11	7	17	24	26	44	19	29	8
41	48	41	22	14	26	26	20	22	21	40	20
45	4	382	15	9	111	219	295	487	252	578	142
238	91	40	122	27	5	4	4	10	10	6	8
6	1	10	8	8	1	6	8	15	17	32	14
20	4	39	11	9	25	41	42	17	23	23	17
536	20	204	88	72	31	20	17	8	5	9	9
522	415	364	411	85	115	182	145	168	85	237	111
595	72	178	176	77	97	170	104	35	17	30	26
18	6	43	3	11	103	173	177	139	45	74	29
639	554	581	610	49	114	150	122	328	160	270	138
169	140	177	154	15	64	73	47	82	42	62	46
129	78	151	79	16	46	58	46	62	36	55	21
21	6	32	12	7	16	10	27	88	51	77	22
19	1	93	4	3	6	16	20	31	16	14	8
493	499	381	481	35	59	93	91	129	73	142	117
1416	1397	1044	1325	171	282	417	347	436	282	908	664
77	3	242	6	10	25	36	25	13	9	12	9
168	143	101	162	13	12	27	21	19	18	16	22
30	10	40	13	11	20	34	42	40	38	37	25
10	2	22	3	7	12	25	13	13	10	11	11
37	11	132	11	8	26	60	32	13	13	20	13
48	46	51	51	9	15	28	19	14	6	20	18
10	5	12	7	7	9	9	10	9	6	21	27
37	3	23	3	18	21	26	31	12	18	16	14
8	2	15	2	2	17	25	19	18	16	8	11
5	3	77	4	3	17	26	33	6	3	5	4
286	12	605	38	22	132	247	241	233	43	23	17
523	535	432	580	55	91	139	123	223	120	184	147
982	1032	742	1021	111	233	305	303	438	254	507	348
118	79	55	101	22	37	83	66	32	17	16	22
3	2	8	4	9	7	25	24	22	6	6	14
630	708	332	744	28	30	66	45	33	11	21	13
455	381	230	477	17	25	47	39	22	12	15	23
4	2	7	2	5	9	6	4	8	11	13	14
7	3	5	4	7	10	8	10	8	11	5	6
7	6	12	10	6	7	9	10	12	13	21	9
50	15	97	31	2	21	28	51	120	18	22	8
410	103	74	114	18	10	6	6	5	5	5	9
1	4	6	4	6	3	6	3	15	8	13	11
1549	1600	1243	1614	196	352	548	535	1107	635	1366	704
335	276	262	323	34	68	80	57	60	46	94	68
325	150	265	161	35	64	71	46	48	36	100	50
127	134	103	121	9	12	21	19	16	8	38	30
25	17	12	15	4	11	14	7	12	15	31	44
173	204	137	187	14	39	39	26	28	15	28	23
227	184	182	213	24	29	45	29	26	14	21	17
500	416	297	515	24	43	49	32	16	8	13	11
3	5	10	8	4	6	3	8	7	12	5	9
121	109	117	79	6	32	72	56	19	15	23	17
93	9	38	16	26	26	26	11	12	12	17	10
730	789	589	797	65	134	173	160	106	43	75	48
1287	1289	894	1263	156	233	311	272	290	91	121	62
26	8	45	16	12	16	25	16	14	8	19	16
9	3	21	7	5	9	17	8	8	6	12	16
55	18	13	26	36	13	17	8	14	10	9	15
7	18	27	13	6	18	24	25	27	10	26	19
121	152	103	170	16	32	58	29	25	17	18	16
15	7	139	8	6	27	54	61	24	5	17	17
164	73	92	88	14	20	24	28	15	11	23	30
172	205	134	209	23	32	58	45	36	17	32	28
64	36	79	53	14	25	51	28	12	15	15	19
1504	1401	1137	1305	191	395	625	623	914	460	916	548
78	9	284	17	22	138	220	196	59	31	39	34
6	6	19	8	4	20	30	19	16	8	14	16
17	3	99	5	9	41	73	94	30	15	18	11
21	12	23	6	7	19	39	15	13	7	8	8
212	80	389	103	19	69	96	73	34	14	13	11
1024	1076	938	963	56	176	267	284	269	70	134	56
615	578	380	625	51	46	70	56	77	42	41	29
516	592	376	556	49	38	52	46	58	34	42	20
170	260	110	237	6	23	28	25	38	12	30	15
56	154	44	119	10	23	27	22	16	17	12	11
11	2	78	3	3	37	47	40	23	12	11	12
444	412	321	372	30	47	63	66	83	46	98	34
45	10	183	15	7	61	97	80	67	19	28	24
668	479	516	491	44	79	116	93	58	21	19	14
125	3	339	18	11	116	209	206	54	13	13	8
168	154	129	135	22	43	75	60	58	28	84	55
13	6	16	9	11	25	38	50	79	31	20	15
504	452	368	518	53	127	179	213	210	97	154	79
9	6	16	10	8	11	12	8	16	12	23	10
304	76	163	138	92	24	20	15	13	6	12	10
351	423	371	485	77	142	161	150	248	131	208	145
414	411	507	447	66	137	145	121	140	66	78	42
915	1066	503	1014	118	88	121	89	83	42	43	13
542	1062	205	867	31	21	15	10	11	3	8	6
634	846	367	787	30	17	12	7	9	9	8	8
114	12	19	17	27	4	6	4	8	4	10	16
10	5	48	2	2	18	28	38	45	17	26	11
88	76	94	54	26	24	61	44	43	33	35	42
247	179	224	232	19	57	50	37	25	7	15	14
12	4	80	6	10	28	68	60	20	6	9	10
148	131	125	124	21	25	54	19	20	14	25	18
54	93	52	93	10	6	16	17	26	19	45	39
1	2	22	3	1	14	34	31	9	9	8	4
1637	1571	1287	1700	339	525	849	781	1391	751	1603	996
506	438	382	493	72	113	195	177	291	183	336	231
29	4	49	14	2	29	48	51	18	5	3	5
18	14	24	10	12	21	20	9	9	5	14	11
607	429	183	589	16	12	7	8	4	7	1	7
20	5	14	7	13	15	17	18	11	11	12	12
793	727	528	753	23	48	46	22	7	15	11	14
27	4	21	9	9	22	45	47	7	9	14	13
471	432	142	454	84	47	74	71	87	39	64	20
1398	1634	633	1606	116	67	50	33	13	18	17	20
14	4	24	6	6	15	22	23	13	18	36	20
11	3	29	4	2	16	28	59	106	28	29	5
20	15	39	21	9	33	60	49	68	44	60	26
120	36	218	70	6	86	167	205	523	228	192	44
429	495	383	452	80	157	214	161	226	117	182	128
957	966	783	897	89	146	189	172	352	193	308	237
352	306	293	297	47	58	83	52	86	66	59	65
388	381	297	394	43	46	62	51	89	89	105	76
33	53	17	33	12	2	10	5	9	12	10	9
6	15	15	20	2	10	18	6	9	9	8	28
8	8	74	5	5	22	21	23	21	5	7	9
144	127	120	118	32	26	46	37	57	33	47	33
14	6	163	10	6	53	71	60	27	17	14	13
148	207	102	221	24	31	26	26	22	19	24	16
46	31	66	32	8	19	36	27	43	19	17	22
93	66	98	103	14	37	54	32	28	25	27	29
61	63	81	73	15	19	40	16	43	27	46	31
59	16	104	25	7	27	41	52	31	16	43	23
30	38	48	42	3	11	15	13	31	30	87	49
102	11	174	16	9	26	30	25	10	12	16	11
1092	996	943	1079	75	238	374	420	710	375	705	293
132	145	132	171	27	47	75	42	64	48	68	45
157	156	159	162	30	30	56	52	85	35	88	35
5	5	62	7	4	50	81	87	238	121	222	76
211	250	484	184	7	59	85	57	25	14	27	12
1071	1259	820	1307	72	116	210	194	388	155	210	73
369	213	519	335	14	93	152	175	395	117	97	28
10	2	20	5	5	9	7	6	17	27	28	19
25	8	23	8	2	5	5	3	11	17	23	16
252	111	41	133	27	17	5	7	6	8	10	9
25	10	11	6	12	7	6	4	5	8	6	8
81	82	80	81	8	18	15	26	28	17	22	17
3	6	9	2	3	5	7	18	30	21	46	16
613	573	481	580	50	88	109	97	134	72	118	41
1735	1604	1216	1641	164	245	337	301	538	298	528	189
78	40	88	49	11	21	26	12	16	10	24	20
140	150	99	166	5	14	24	19	33	15	32	10
38	8	195	9	5	59	103	139	131	27	19	10
399	456	299	485	43	75	117	105	130	69	78	31
945	1037	778	1104	99	205	317	283	442	218	233	74
224	14	52	23	30	20	14	12	8	8	10	7
33	7	20	8	29	12	9	4	8	8	13	10
282	43	47	58	55	13	5	8	11	12	9	6
186	176	158	183	40	63	94	76	89	48	95	66
57	6	52	7	10	44	83	64	29	12	5	9
66	22	25	40	20	6	9	5	16	16	16	22
5	2	21	2	3	7	21	22	46	14	24	12
202	166	176	212	17	33	36	32	88	57	121	87
624	602	497	617	120	131	143	164	331	191	463	323
1594	1549	1151	1574	167	248	362	361	659	354	779	443
188	200	130	183	12	25	34	27	20	19	39	22
523	585	399	560	57	131	166	161	275	137	251	148
55	6	40	3	5	18	27	25	25	14	10	10
29	6	304	8	4	28	72	119	30	16	10	11
1035	1050	736	1199	105	167	197	184	335	152	199	97
420	545	237	604	28	29	46	46	97	62	49	31
53	5	3	5	27	14	2	6	6	5	4	4
282	59	61	100	36	10	6	6	10	9	5	11
42	7	6	4	21	11	5	9	11	10	12	8
282	258	271	271	26	57	89	89	89	38	81	61
46	21	40	27	8	21	20	18	35	12	23	11
14	6	14	5	29	5	3	6	9	4	10	14
85	46	129	45	5	24	48	34	18	11	20	20
8	9	47	6	3	21	47	65	57	29	31	23
196	292	143	266	9	36	33	27	35	17	17	22
334	351	222	406	33	40	49	34	53	28	24	17
327	396	273	406	30	38	39	50	71	37	36	20
127	122	95	142	24	55	95	116	184	89	152	71
76	4	368	11	17	115	206	261	391	52	21	11
27	4	299	15	8	128	179	310	453	115	78	20
9	8	15	7	4	3	12	12	43	22	35	24
13	6	18	6	1	2	8	11	22	13	17	10
244	186	157	227	30	30	55	73	206	113	104	51
30	11	35	24	7	31	89	157	329	187	231	47
17	10	114	18	9	76	147	221	396	79	78	19
269	233	237	238	64	356	544	537	1039	482	645	353
12	6	16	3	5	16	56	80	143	46	56	18
71	62	61	70	6	12	28	29	32	16	30	23
149	101	74	103	14	32	24	21	32	24	22	20
610	460	472	504	62	109	156	130	168	88	151	96
641	608	473	592	73	152	220	220	440	203	415	325
293	264	310	255	30	90	130	91	179	114	198	177
315	197	322	209	23	74	106	79	96	42	59	49
11	4	16	10	6	5	10	11	26	38	163	169
11	7	29	5	6	15	31	14	50	47	93	23
732	60	1627	140	81	525	808	866	1843	806	1440	475
5	2	28	9	7	45	69	75	163	96	243	71
513	541	438	534	31	42	74	76	115	69	96	48
921	940	772	967	91	147	198	184	394	178	339	126
206	248	176	234	29	33	42	51	101	69	95	47
304	270	367	268	37	84	126	136	257	118	148	51
6	4	38	8	2	26	21	20	45	23	43	33
444	88	428	187	17	140	195	110	48	25	24	7
160	127	78	156	48	15	10	15	13	10	9	11
30	8	108	11	7	34	63	83	112	35	33	12
123	56	51	70	38	15	20	9	9	10	11	7
97	133	86	127	9	13	9	9	24	18	42	34
37	10	45	26	8	29	40	19	22	9	6	11
47	2	21	7	2	9	19	17	103	37	74	23
27	8	31	19	7	15	19	19	118	44	51	12
162	5	1679	14	16	451	818	937	1947	632	493	62
41	11	47	19	7	53	80	38	15	13	3	11
6	7	21	4	4	13	46	50	156	59	56	29
44	5	120	7	10	44	55	59	84	34	72	32
155	9	414	43	24	134	240	202	314	143	282	166
17	11	42	16	1	11	14	17	16	22	27	8
43	13	61	20	7	15	11	15	20	15	42	20
5	4	38	2	6	9	27	31	50	30	23	7
12	8	39	9	4	11	25	14	14	9	14	14
10	12	81	7	4	32	39	17	10	2	7	8
166	60	683	57	10	56	60	22	7	6	8	12
268	518	248	428	35	20	27	9	19	7	15	9
7	5	10	9	2	6	14	7	8	9	15	23
6	3	66	5	4	6	7	10	21	3	5	4
204	57	80	76	28	8	9	1	4	6	6	8
102	2	467	21	5	82	186	173	170	46	24	7
140	417	26	298	16	3	7	2	5	3	6	5
11	4	13	13	3	3	17	6	18	7	11	9
48	87	56	64	13	15	31	20	28	22	20	20
257	215	228	276	24	40	57	38	43	18	32	32
70	15	51	12	10	14	10	17	14	12	9	5
18	6	31	17	9	15	22	17	11	11	12	6
4	3	7	7	3	6	8	6	6	6	7	17
88	97	78	114	11	22	30	14	23	9	13	10
59	12	128	18	11	21	26	10	17	10	5	8
329	1183	66	981	34	6	9	3	14	5	12	12
221	195	167	220	6	22	34	34	42	16	34	15
485	457	243	487	22	25	21	10	9	5	13	13
520	62	945	135	19	88	87	91	52	12	26	13
152	140	140	121	18	38	36	23	33	11	32	16
374	145	130	197	25	9	2	1	9	4	9	5
8	3	7	3	6	9	9	7	16	14	27	38
656	745	726	787	42	141	252	215	392	159	256	113
692	931	584	914	92	143	201	202	340	163	336	207
1461	1738	1334	1776	174	249	327	367	797	344	662	453
980	925	711	1037	99	124	155	163	203	108	172	131
981	949	756	973	75	128	179	157	289	137	245	145
136	21	82	17	16	28	48	55	227	148	315	172
197	35	211	58	11	34	61	67	64	15	27	15
142	147	36	168	15	2	1	9	8	10	18	6
17	9	34	8	3	11	10	7	15	17	24	15
131	271	29	269	18	9	7	6	7	11	8	14
